Name,Description,Ecosystem,Spec. Issue,Components,Interfaces,Source
R1. Misconfiguration  of networks,"The fact that more components from different suppliers need to be integrated together, the use of virtualisation management and the lack of mature MNO processes for complete lifecycle of Open RAN deployment greatly increase configuration complexity and the risk of misconfiguration of networks and render faults more likely. Moreover, the lack of mature standards can lead to dissimilar and potentially poorer network design and architecture which increases the risk for ineffective emergency and continuity mechanisms. Decoupling hardware and software, and using software component from different suppliers present potential additional risk of misconfiguration of networks. Software may offer security feature, which relies on hardware implemented secure element, or security feature which requires support from other software component. As there may be many different combinations of software and hardware, or combinations of software components, integrating the security features may require additional effort and could easily end up to situations in which security features are not used.",FALSE,FALSE,ALL,ALL,Report on the Cybersecurity of Open RAN
R2. Lack of access  controls,The increased number of Open RAN suppliers also means an increasing number of third parties needing access to the network (e.g. in case of malfunction). The new functions (for example xApps and rAPPs) will introduce new suppliers in the ecosystem and will require additional security controls and measures to be put in place between each and every function to avoid new security threats being introduced. MNOs may need to outsource the operations to third parties given the increased complexity and additional interfaces in Open RAN deployments. The use of open interfaces also increases the risk of a third party accessing the system.,FALSE,FALSE,"Near-RT RIC, Non-RT RIC",,Report on the Cybersecurity of Open RAN
New Risk (NR) 1. Expanded threat surface and vulnerabilities in Open RAN functions and interfaces,"The increased number of components in Open RAN deployments, potentially from multiple suppliers, together with new network functions as well as additional Lower Layer Split (LLS) interfaces, increase the attack surface. Also, the implementation of network functions with AI and ML introduces new attack vectors, for example through flaws in the ML model or via the interface to external sources (such as weather data). For instance, the O-RAN Alliance specifications, in their current version, include the possibility for external, potentially untrusted, sources to provide data to intelligent RAN functions and to configure the network intelligently, but these interfaces have not been further defined/described. Vulnerabilities in these interfaces and intelligent functions could negatively impact the network. In addition, by opening certain interfaces, Open RAN will give access to information flows to new third-party applications, which raises security issues with regard to data passing through the network. The O-RAN specifications already define capacities for opening certain interfaces to thirdparty applications. These openings aim to introduce new functionalities, but these third-party applications will have access to information flows (e.g. real-time location data of users connected to the network).

Risk Scenario: Adversary exploits insecure open fronthaul interface to mount denial of service, interception or tampering attacks, compromising availability, confidentiality, integrity or privacy of data. Alternatively, attackers may exploit weak authentication mechanisms to gain unauthorised access, compromise privacy, degrade network performance or facilitate attacks on other parts of the network.",TRUE,TRUE,ALL,ALL,Report on the Cybersecurity of Open RAN
R3. Low product  quality,"Open RAN means that there will be more suppliers and more different components, potentially including components from high-risk suppliers. This means that the risk of diverse levels of quality product increases. It is unclear whether newcomers in the Open RAN market might prioritise innovation or security in the short-term. In addition, there may be suppliers whose maturity of software development, software security and supply chain security is lagging behind with respect to more established suppliers. A compounding factor is the fact that Open RAN standards are still under development and lacking maturity. This means that Open RAN products may lack a foundation of security-by-design. Considering that these components are interconnected, additional controls will be needed to avoid that these weakest links put other components and the other RAN functions at risk.",TRUE,FALSE,ALL,ALL,Report on the Cybersecurity of Open RAN
R4. Dependency,"An increased number of available suppliers, coupled with a disaggregated RAN, interoperable interfaces, an increased use of COTS hardware and possibly open source software could reduce the overhead in switching suppliers, allowing operators to reduce the potential for dependency on any single suppliers (See also under ‘Supplier diversity in the RAN’ in annex 2).",TRUE,FALSE,ALL,ALL,Report on the Cybersecurity of Open RAN
NR2. New dependency on cloud service/infrastructure providers in Open RAN,"A potential (and likely) implementation of Open RAN's modular approach for the RAN functions, and the disaggregation of software from hardware, enables (part of) the base station software to be run on cloud platforms, which could increase dependency on cloud service/infrastructure providers. As different suppliers may use different cloud platforms, there is a risk that the network becomes dependent on multiple cloud service/infrastructure providers at the same time. There is a possibility that the cloud service or part of it is run outside the EU where different legislation may apply. There may be also situations where all MNOs in a region end up using the same cloud provider. In this case, even if each of the MNOs has its own network, all the networks are relying on the same cloud provider, which could then exacerbate vulnerabilities.  Risk scenario: Mobile network operators rely entirely on a small number of (mostly non-EU) cloud service/infrastructure providers for their Open RAN network supporting critical infrastructure, which creates a supplier lock-in.",TRUE,FALSE,"O-Cloud, SMO",,Report on the Cybersecurity of Open RAN
NR3. Decreased sustainability of the EU 5G supply chain and potential dependencies on non-EU capacities,"The RAN supply market could be transformed in a way that gives momentum to new players (e.g. system integrators, cloud service/infrastructure providers, etc.), including large non-EU players. This could lead to new critical dependencies in the midto long term, or increase existing ones30, with potentially significant impacts on security.  Risk scenario: New business models based on Open RAN architectures and interfaces gain momentum and new major players enter the market, competing with the established players. The market could reconsolidate around a small number of non-EU suppliers, system integrators and cloud providers, thus negating the diversification opportunity.",TRUE,FALSE,ALL,,Report on the Cybersecurity of Open RAN
NR4. Deficiencies in the O-RAN technical specifications development process,"Security has not been at the forefront of the technical specifications development process of the O-RAN Alliance31 32. Immature O-RAN specifications without a foundation of secure by design may lead to products with increased vulnerabilities leading to exploitation. The lack of mature security specifications in a diverse Open RAN architecture coupled with increased competition can result in poorly manufactured components in an attempt to reduce cost. In addition, key decision rights within the O-RAN Alliance are conferred to the Board, which is composed only of a sub-set of members and only of MNOs. The participation in the specification development of the O-RAN Alliance seems to narrow as the process advances. The combination of conditions for document access and for membership seems to imply that while the documents may eventually be accessed by anyone, conditions to access specifications are more stringent for non-members and non-contributors. The stringent provisions of the O-RAN Alliance Adopter License Agreement might hamper the transfer of information and knowledge between adopters and non-adopters, making discussions outside the O-RAN Alliance more difficult.  

Risk scenario: O-RAN specifications continue to be developed in a setting which does not provide much visibility and openness to relevant stakeholders, and a lack of parity with the 3GPP international standardisation efforts. This weakens efforts towards ensuring a coherent secure architecture, can fragment the overall system security and create vulnerabilities in availability, integrity, confidentiality and privacy.",TRUE,TRUE,ALL,ALL,Report on the Cybersecurity of Open RAN
R5. State interference through 5G supply chain,"As there will be more suppliers in an Open RAN deployment (including possibly more high-risk suppliers), the potential exposure to a higher number of supply chain risks increases. The risk profile of a supplier - linked to the criteria identified in the EU Coordinated risk assessment (including the risk of interference by third country) - continues to be an important source of vulnerabilities. In addition, risks could exist also in relation to the source/actors providing inputs and data for the specification of open interfaces (see also NR.4 Deficiencies in the O-RAN technical specifications development process).",TRUE,FALSE,ALL,ALL,Report on the Cybersecurity of Open RAN
R6. Exploitation of 5G networks by organised crime,"The increased number of interfaces and suppliers would offer more opportunities for OCGs to enter and disrupt the network. In addition, smaller suppliers, such as those providing software services, may be more susceptible to be influenced by OCGs (or state actors). Moreover, the possible use of open source components could mean that the vulnerabilities are publiclyknown and could therefore be more easily exploited by malicious actors.",TRUE,FALSE,ALL,ALL,Report on the Cybersecurity of Open RAN
R7. Significant disruption of critical infrastructures or services,Identified risks related to Open RAN (in particular new vulnerabilities related to an increased number of suppliers and new interfaces which translate into a higher risk of exposure to network-level attacks compared to the established access network implementations) and the lack of fully mature security controls around Open RAN architecture and NFV mean that critical national infrastructures relying on 5G networks could also be more exposed to incidents. .,TRUE,FALSE,ALL,ALL,Report on the Cybersecurity of Open RAN
R8. Massive failure of networks due to interruption of electricity supply or other support systems,"This risk can affect the RAN, and the impact would depend on the split of functions in the 3GPP or Open RAN specifications. In case of power supply disruption, a network using a distributed architecture could be impacted at a larger extent due to the physical distance that exists between the physical equipment/hardware hosting central unit (CU) and/or distributed unit (DU) functionalities. It is therefore important to ensure that adequate energy back-up sources are installed in multiple physical points in order to protect service availability in a single/particular area.",FALSE,FALSE,ALL,,Report on the Cybersecurity of Open RAN
R9. IoT exploitation,"Open RAN components, the network functions running on them, but also for example virtualised MEC applications, would be vulnerable to attacks from connected terminals, such as IoT devices, but the risk would be similar for network components in an established RAN architecture.",FALSE,FALSE,ALL,,Report on the Cybersecurity of Open RAN
NR5. Open RAN network fault management complexity,"Failure in specific network components built by a specialised supplier may impact the entire network. Multiple suppliers may increase complexity and cost of managing network services and fault management, by making it more challenging to discover the cause of network failures or by requiring (remote) support provided by several different suppliers, hence increasing the risk. In addition, more Open RAN suppliers could mean it is harder to allocate and enforce liability to one or more suppliers.

Risk scenario: An unintentional system failure in one of the critical components built by a specialised supplier and the complexity of identifying and resolving the issue in the multi-vendor set-up impacts the availability causing prolonged outage of network services.",TRUE,FALSE,ALL,,Report on the Cybersecurity of Open RAN
NR6. Impact of Open RAN mix and match approach on network security and performance,"Integration of multiple supplier components into a single network, in particular in the lack of a mature standard, which by its nature enables efficient interoperability, can cause integration problems, prevent specific security controls to function or make it more difficult to conduct network testing. Moreover, an increasingly complex environment with multiple components from different suppliers and with multiple stakeholders involved makes it more challenging to ensure that only trusted and competent individuals are involved in network deployment, operation and maintenance. Additionally, the increased number of components and interfaces and/or the application of necessary resource-demanding protection mechanisms on those elements may also lead to degradation of overall performance or prevent specific use-cases dependant on performance such as ultra-reliable low latency communications (URLLC). Furthermore, the ability of the MNO to pursue a systematic approach to security controls across the network is impeded by a diversity of security mechanisms. In addition, different releases of the same software might be deployed in a heterogeneous way.

Risk scenario: Unintentional human error in operating and managing complex network environment or an intentional malicious action by a non-trustworthy third-party personnel with high access privileges lead to unavailability of network services or facilitate further attacks on other parts of the network.",TRUE,FALSE,ALL,,Report on the Cybersecurity of Open RAN
NR7. Resource sharing,"In Open RAN, different network functions are virtualised and are running on the same hardware, which means that potentially, if there are not sufficient controls in place, other network functions could be impacted by security issues with other new RAN functions running on the same pool of resources.  

Risk scenario: If one non-critical network function is running alongside other network functions on the same pool of hardware resources, then a security incident affecting the non-critical network function, for example an overload or distributed denialof-service (DDoS) attack, could impact the security of other network functions.",TRUE,FALSE,ALL,,Report on the Cybersecurity of Open RAN
Coordinated Vendor Disclosure,"Integration and compatibility between Open RAN components and functions from different vendors is critical to network security. Since it is crucial to update devices as quickly as possible, additional delays may introduce risks for network operators. For example, if a zeroday vulnerability is identified, vendors could release patches at different times. If one vendor’s device is patched in response to a critical vulnerability, and others are not, it could lead to incompatibility of network devices and loss of network service availability. Until all the vendors within a network release a patch for the exploit, the operator’s network may be vulnerable.",TRUE,FALSE,ALL,,Open Radio Access Network Security Considerations
Component Lifecycle,"When a network operator implements a change, such as an update, service implementation, or addition of a new component, they must ensure that there are no negative impacts to the network. While traditional networks require testing, Open RAN will introduce more complexity, which may present challenges for operators since that interoperability will need to be tested before each network change throughout the device’s lifecycle.",TRUE,FALSE,ALL,,Open Radio Access Network Security Considerations
Triaging Vulnerabilities,"When a vulnerability arises within an Open RAN network, identifying which vendor is responsible for addressing it may require more extensive coordination between vendors. In a traditional network with limited vendors, responsibility would fall on the vendor to identify and repair the issue. With an Open RAN network, it may be difficult to identity which vendor is responsible when there is component incompatibility that will require the operator to bring multiple vendors together to remediate the issue. Operators may be less likely to implement security changes if vendor coordination is too difficult or time consuming.",TRUE,FALSE,ALL,,Open Radio Access Network Security Considerations
Improper Implementation of Specifications,"Devices must utilize defined Open RAN standards and specifications that support the development of open interfaces, network flexibility, and multi-vendor network support. If a device is not configured to established Open RAN specifications and attempts to communicate with another device that is also not properly configured, it may cause communication failures and transmission delays within the network.",FALSE,FALSE,ALL,ALL,Open Radio Access Network Security Considerations
OFH Denial of Service,"The availability of a mobile network to provide service to a subscriber is an imperative for mobile operators. The ability to provide a mobile service is dependent on the availability of the Open Fronthaul. The Open Fronthaul attack surface comprises the real-time communication interfaces, management interfaces, and the Open Fronthaul network. From a security perspective, the Open Fronthaul must implement security controls to counter potential denial of service attacks against the ability of a mobile network to provide services.",FALSE,FALSE,,Fronthaul Interface,Open Radio Access Network Security Considerations
Unauthorized Access to OFH,"One security concern is unauthorized device access to the Open Fronthaul network. Only ORU radios, O-DU in the base station equipment, and other authorized network devices should operate on the Open Fronthaul. An unauthorized device on the Open Fronthaul could launch denial of service attacks on the RAN. Mitigations for unauthorized access include network access control mechanisms, hardening and other O-RU physical security measures, and access control on O-RU management functions.",FALSE,FALSE,,Fronthaul Interface,Open Radio Access Network Security Considerations
Insufficient Authentication for OFH,The O-RAN Alliance defined management interface for the O-RU allows the operator to optionally use certificate-based authentication with mutual TLS5 or password-based authentication with SSH. Password-based authentication is considered weak and vulnerable to brute force attacks. Weak authentication can be exploited by a malicious actor to gain access to the local system and move laterally across the network to gain access to northbound systems for greater visibility and control across the RAN. Authentication on the O-RAN Alliance defined management interface with mutual TLS (1.2 or 1.3) comprising Public Key Infrastructure (PKI) based X.509 certificates will move the O-RAN alliance defined management interface toward adopting an accepted industry best security practice.,FALSE,TRUE,,Fronthaul Interface,Open Radio Access Network Security Considerations
AI/ML Data Poisoning Attacks,"AI and ML algorithms in Open RAN components can behave unpredictably or maliciously when subject to “data poisoning attacks”, subtle changes to input data that could be indistinguishable from random noise. Therefore, AI and ML algorithms deployed in Open RAN components should be chosen, trained, deployed, and updated using approaches that harden them against data poisoning attacks. Open RAN also proposes AI and ML algorithms be implemented in a modular way to allow for independence and re-use across software components. For supervised algorithms, like Deep Neural Networks (DNNs), it is recommended that offline training with known data precedes deployment.

When AI and ML algorithms are introduced into a software system, they can present additional and novel vulnerabilities that need to be understood and mitigated. By “poisoning” the data input to an AI and ML algorithms, an attacker can induce effects ranging from denial of service by one or more Open RAN components to unexpected output from an AI or ML module that alters Open RAN behavior to the attacker’s benefit.  

Protecting AI/ML against data poisoning attacks is still a growing field of investigation. Appendix A list four widely referenced papers that will enable an experienced practitioner to develop, test, and deploy AI/ML algorithms that are robust against a variety of attacks. Appendix B lists published attacks on AI and ML used in RANs.",FALSE,FALSE,"Near-RT RIC, Non-RT RIC",,Open Radio Access Network Security Considerations
Cloud/5G RAN Operator Takeover,"The “cloud operator” and “5G RAN operator” attackers have prominent positions. Both ultimately have full control over the RAN: the 5G RAN operator by design, and the cloud operator because the current O-RAN specifications do not provide for security measures regarding untrusted cloud operators. It simply assumes that cloud operators can be trusted: “Administrators, integrators, operators and orchestrators must be trustworthy, ...” [49].  As a result, there are no differences in the O-RAN-related best-case/worst-case considerations with regard to “cloud operator” attackers. The same applies to “RAN operator” attackers, who, among other things, have full control over the O-RAN security safeguards. Therefore, only worst-case (ww) and best-case (bb) considerations are generally made below. 

Worst case: If none of the 3GPP or O-RAN security safeguards specified as optional are implemented, the risk of a breach is to be assessed as high for all protection goals and for all stakeholders, since in this case the cloud operator/5G RAN operator has full access to all processed data and full control over the data processing itself. The only exception here is the end-to-end protection of the Control Plane data with regard to integrity. This improves the situation for the 3GPP Control Plane data, but the internal O-RAN configuration and management data are unprotected, which results in a medium risk overall. 

Best case: Even the best-case situation is only negligibly better. For all stakeholders, failure to meet the protection goal of availability represents a high risk. From their perspective, end users must also assume a violation of the protection goals of confidentiality, integrity, privacy and accountability, since the cryptographic keys for securing the air interface (Uu) are known to the RAN. Since such an attack is easy to carry out across the board, a high risk is also seen with regard to “state” stakeholders and the violation of the protection goals of confidentiality, integrity, accountability and privacy. For the “telco” stakeholder – specifically from the Control Plane perspective – the situation is slightly better, as the corresponding Control Plane messages (NAS) between UE and the core network are end-to-end secured (between UE and the 5G core). However, manipulations of the O-RAN-specific configuration and management data are possible, resulting in the assumption of a medium risk overall.",FALSE,TRUE,ALL,ALL,Open RAN Risk Analysis
Compromised O-Cloud Access,"The O-Cloud is the central execution environment of the O-RAN components. As mentioned above, an untrustworthy cloud operator results in very high security risks. The same applies in the case of an O-Cloud compromised by an attacker. This is why effective security safeguards such as access control and separation are crucial. The O-RAN specifications only make a few stipulations here and even contain security-critical requirements. For example, the “Security Requirements” specification [51] contains only a recommended requirement for access control: “User should be authenticated and authorized.” On the positive side, isolation mechanisms certainly are required: “Means of isolation of control and resources among different users shall be implemented” – although such isolation mechanisms are ineffective without mandatory user authentication. In the O-RAN worst case, a risk situation arises with regard to “outsider” attackers that is comparable to the situation involving “RAN operator” attackers, since a compromised O-Cloud is essentially equivalent to full control over the O-RAN components. The best-case scenario from an O-RAN perspective cannot be assessed at present, as there are practically no security requirements for the O-Cloud.",FALSE,TRUE,O-Cloud,,Open RAN Risk Analysis
O2 Specification Gaps,"As described in chapter 2.3.2, the O2 interface is used to configure the O-Cloud and deploy the RAN components of O-RAN, i.e. the VNFs. The O2 interface can be considered very powerful in that it can be used to determine the entire execution environment and the software components that are executed. This is all the more true since the deployment scenarios and use cases found in the O-RAN documents provide for a great deal of flexibility, and the O2 interface must therefore be powerful enough to support this dynamic. Unauthorised access to the O2 interface has the potential to compromise the RAN, i.e. to give an attacker complete control over the entire RAN. 

A detailed risk assessment is currently difficult since requirements are only described or specified in terms of the services to be made available with the help of the O2 interface. The exact details of how the interface is designed, however – that is, which concrete protocols are used, and so on – are not specified (“The O2 services and their associated interfaces shall be specified in the upcoming O2 specification”. [27])

The authors of the O-RAN specifications are well aware that the O2 interface must be secured, as they have defined the general requirement REQ-O2-GEN-TLS-FUN-1 and REQ-SECO2-1. However, these are formulated in fairly “soft” terms: “Management Service providers and consumers that use TLS shall support TLS v1.2 or higher” [26]. The use of security protocols (specifically TLS) is therefore not prescribed in principle; only a minimum TLS version is specified if TLS is used. The associated explanatory description, “Communications between SMO and O-Cloud are secure”, [26] can thus be described as misleading, as it represents more a wish than a fact or requirement that can be derived from the specification.

In addition to simply securing the connection (e.g. with the help of TLS), it is also important to define exactly which components or roles are allowed to use which management and deployment services. Based on this, corresponding rights management and access control must be implemented. It is important that the O2 interface has to be designed to support implementation of the least privilege principle in a natural way, i.e. that the interface offers welldefined functions with well-defined parameters that enable sufficiently granular rights management. The opposite of this would be more of a general interface – remote access via SSH, for example. Here, a clear determination of the capabilities of a principally authorised person and the implementation of corresponding restrictions on said capabilities are very complex and error-prone.

As mentioned, the exact design of the O2 interface is unclear, but the O-RAN software community does provide a reference implementation. This is based on a number of existing software components, such as OpenStack, Kubernetes and ONAP. These basic components are highly complex on their own, which makes misconfigurations likely [52] and in turn represents a vulnerability to potential attacks (e.g. privilege escalations) in the case of a less restrictive O2 interface.",FALSE,TRUE,,O2 Interface,Open RAN Risk Analysis
O2 Takeover (A),"O-RAN worst case/3GPP worst case (ww): Since no security mechanisms are mandatory, even an outsider can access the powerful O2 interface and take complete control of the RAN. This may result in a failure to fulfil the protection goal of availability for all the stakeholders considered. With regard to the end user, a failure to meet the protection goals of confidentiality, integrity and accountability of transmitted data must also be assumed, since the attacker can gain control over the relevant encryption keys. With regard to the 5G network operator/telco, failures to fulfil the protection goals of confidentiality, accountability and privacy are to be expected. This affects all data relevant to the O-RAN, such as configuration data (including cryptographic keys), machine learning models, O-RAN software components (including rApps and xApps), log files, etc. Since a corresponding attack can easily be carried out on a large scale, a high risk with regard to all protection goals can also be assumed for governmental (“state”) stakeholders. However, integrity is an exception from the network operator's point of view: even if a RAN is completely taken over, the Control Plane data between UE and AMF should be secured by the mandatory integrity assurance measures using 3GPP mechanisms.",FALSE,TRUE,,O2 Interface,Open RAN Risk Analysis
O2 Takeover (B),"O-RAN worst case/3GPP best case (wb): Here, the assessment of the risks is analogous to that of the worst-case/worst-case scenario. However, the Control Plane data is encrypted by the 3GPP specifications between UE and AMF in the best case, which means that the risk to the confidentiality protection objective can be classified as “medium” with regard to the “telco” stakeholder because the other O-RAN-specific Control Plane data is unprotected.",FALSE,TRUE,,O2 Interface,Open RAN Risk Analysis
O2 Takeover (C),"O-RAN best case/3GPP best case (bb): Since all the optional security safeguards are implemented in this case, a low probability of successful attacks by outsiders and users seeking to exploit the O2 interface can be assumed. With regard to “insider” attackers, on the other hand, a high probability can be assumed. Since there are no concrete statements on rights management or granular access control to the O2 interface, it can currently be assumed that insider attackers can expand their rights with relative ease. This is especially true if the component compromised by the insider is the SMO framework. By securing the O-RAN area, the risk of a failure to fulfil the availability protection goal should decrease, since incidental access to the O2 interface from the outside and by the user should no longer be possible.",FALSE,TRUE,,O2 Interface,Open RAN Risk Analysis
O2 Takeover (D),"O-RAN best case/3GPP worst case (bw): The risks of failures to meet the protection goals should be assessed here in the same way as the best-case/best-case scenario. The only difference is that no Control Plane data is encrypted between UE and AMF, which raises the risk from “medium” to “high”.",FALSE,TRUE,,O2 Interface,Open RAN Risk Analysis
O1 Insufficient Security,"Optional security safeguards are provided for the O1 interface in the current specification documents. Specifically, SSH and TLS are cited here [25]. The implementation of the least privilege principle is also mentioned. 

It should be noted that the Security Requirements document [51] makes more strictly formulated statements compared to the actual O1 interface specification: “O1 interface will enforce confidentiality, integrity, authenticity through an encrypted transport, and least privilege access control using the network configuration access control model”. However, some of the concrete requirements only use the phrase “shall support”, whereas the same document's notes on the security controls to be used are stricter: “As defined in the previous chapter, the O1 will use TLS 1.2 or higher to enforce confidentiality, integrity, and authenticity; and will use NACM [10] to enforce least privileged access”.",FALSE,TRUE,,O1 Interface,Open RAN Risk Analysis
O1 Takeover (General) (A),"O-RAN worst case/3GPP worst case (ww): Since no security mechanisms are mandatory and the O1 interface – at least with regard to the (O-)RAN core functionality – is similarly powerful to the O2 interface, the considerations from chapter 5.1 apply in the same way. However, the risk of an integrity violation is classified as medium from the network operator's point of view. Due to the mandatory integrity assurance of the Control Plane data (only NAS signals) on the part of 3GPP, it should not be possible for even an insider to change the Control Plane data exchanged between UE and AMF without being noticed. However, an insider still has access to the Control Plane data in the O-RAN, which is why the integrity violation is classified as medium.",FALSE,TRUE,,O1 Interface,Open RAN Risk Analysis
O1 Takeover (General) (B),"O-RAN worst case/3GPP best case (wb): Here, the consideration is similar to the worstcase/worst-case scenario: since integrity assurance of the Control Plane data exchanged between UE and AMF is mandatory, the 3GPP best case does not offer improvement compared to the 3GPP worst-case scenario. Although the UE's User Plane data is now encrypted and its integrity secured, an attacker can access the corresponding keys via the O1 interface, so the risk remains unchanged. An important difference, however, is that the Control Plane data between the UE and AMF is encrypted from end to end in this case. From the network operator's point of view, the risk here is therefore assessed as medium because regardless of all the other considerations, the O-RAN-specific Control Plane data is unencrypted.",FALSE,TRUE,,O1 Interface,Open RAN Risk Analysis
O1 Takeover (General) (C),"O-RAN best case/3GPP best case (bb): As in the case of the O2 interface, the circumstances regarding the O1 interface look better in the best case due to the (optional) security safeguards provided. In relation to “user” and “outsider” attackers, the risk of a breach of the protection goals of confidentiality, integrity and accountability is assessed as low for all stakeholders. In the case of availability, the risk for all stakeholders is rated as medium. An attacker could target the availability of the O1 interface to prevent configuration changes and status messages. This in turn can lead to impairments of the quality of service of the RAN – that is, to successful availability attacks on the RAN itself. It should be noted here that, in contrast to the specification of the E2 interface, a failure of the O1 interface is currently not explicitly considered in the specification documents. Since the O1 interface allows software management, an insider with access to this interface can in principle manipulate the executed O-RAN components and thus, as already detailed, gain access to stored cryptographic keys (for example) in the case of the O-CU. The decisive factor here is how strictly the least privileged principle is implemented and what rights a given insider actually has as a result. The risk an insider poses to the protection goals of confidentiality, integrity and accountability with regard to the “user” and “state” stakeholders is therefore assessed as medium. A similar assessment is made for the “telco” stakeholder. Although parts of Control Plane communication are secured from end to end (and thus protected against insider access), the O1 interface provides access to a great deal of network management information that is sensitive from the network operator's point of view (in terms of both confidentiality and integrity/accountability).",FALSE,TRUE,,O1 Interface,Open RAN Risk Analysis
O1 Takeover (General) (D),"O-RAN best case/3GPP worst case (bw): Although the safeguards provided by the 3GPP protection measures are not effective here, the same risks arise as in the best-case/best-case scenario, since “outsider” and “user” attackers have no access to the O1 interface in the O-RAN best case. With regard to “insider” attackers, on the other hand, the fact that the 3GPP security safeguards no longer apply has no negative impact because they were also not effective in the 3GPP best case.",FALSE,TRUE,,O1 Interface,Open RAN Risk Analysis
O1 Spec. Ambiguity,"In [53], the O1 interface between the O-DU and SMO is used for “start up” installation and the management of software, configurations, performance, faults and files. For the security of the connection, the use of TLS is to be mandatory for the authentication of the O-DU, although the mandatory nature is usually rarely found in the specifications in this way. In addition to this, securing the NETCONF data exchange by means of TLS is supposed to be mandatory: “In this version of O1 Interface Specification, the security of the NETCONF protocol is realized using TLS” [53].

Use of the NETCONF Access Control Model (NACM) is also supposed to be mandatory to enforce least-privilege access control. In general, the specification mainly covers the mandatory implementation of security mechanisms in contrast to the security mechanisms in 5.3.1.

Although the enforcement of the protection goals of confidentiality, integrity and accountability is not mentioned with the usual terminology using “shall”, the formulation: “[...] the O1 interface will enforce confidentiality, integrity, authenticity [...] and least privilege access control [...]”. [56] leads to the conclusion that the same meaning is intended.",FALSE,TRUE,,O1 Interface,Open RAN Risk Analysis
