Threat ID,Threat title,Threat agent,Vulnerability,Threatened Asset,Affected Components,Threat Type,Extra Interfaces
T-SPLANE-02,Impersonation of a Master clock (Spoofing) within a PTP network with a fake ANNOUNCE message,All,"· Inaccurate timing information
 · Improper synchronization between clocks
 · ANNOUNCE messages can be sent publicly in clear text",ASSET-D-01,"O-DU, O-RU",O-RAN specific,Fronthaul Interface
T-SPLANE-03,A Rogue PTP Instance wanting to be a Grand Master,All,"· Inaccurate timing information
 · Improper synchronization between clocks
 · ANNOUNCE messages can be sent publicly in clear text",ASSET-D-01,"O-DU, O-RU",O-RAN specific,Fronthaul Interface
T-SPLANE-04,Selective interception and removal of PTP timing packets,All,"· Inaccurate timing information
 · Improper synchronization between clocks
 · ANNOUNCE messages can be sent publicly in clear text",ASSET-D-01,"O-DU, O-RU",O-RAN specific,Fronthaul Interface
T-SPLANE-05,Packet delay manipulation attack,All,"· Inaccurate timing information
 · Improper synchronization between clocks
 · ANNOUNCE messages can be sent publicly in clear text",ASSET-D-01,"O-DU, O-RU",O-RAN specific,Fronthaul Interface
T-CPLANE-01,Spoofing of DL C-plane messages,All,Lack of authentication could allow an adversary to inject DL C-plane messages,ASSET-D-04,"O-DU, O-RU",O-RAN specific,Fronthaul Interface
T-CPLANE-02,Spoofing of UL C-plane messages,All,Lack of authentication could allow an adversary to inject UL C-plane messages,ASSET-D-04,"O-DU, O-RU",O-RAN specific,Fronthaul Interface
T-UPLANE-01,An attacker attempts to intercept the Fronthaul (MITM) over U-Plane to obtain user data,All,Lack of sufficient security measures in the Fronthaul due to the negative impact on the performance requirements,ASSET-D-05,"O-DU, O-RU",O-RAN specific,Fronthaul Interface
T-UPLANE-02,An attacker attempts to intercept the Fronthaul (MITM) over U-Plane to modify u-plane data,All,Lack of sufficient security measures in the Fronthaul due to the negative impact on the performance requirements,ASSET-D-05,"O-DU, O-RU",O-RAN specific,Fronthaul Interface
T-UPLANE-03,An attacker attempts to intercept the Fronthaul (MITM) over U-Plane to disrupt services,All,Lack of sufficient security measures in the Fronthaul due to the negative impact on the performance requirements,ASSET-D-05,"O-DU, O-RU",O-RAN specific,Fronthaul Interface
T-UPLANE-04,Spoofing and unauthorized access of U-Plane data packets,All,"Lack of authentication, and authorization protection for U-Plane data packets",ASSET-D-05,"O-DU, O-RU",O-RAN specific,Fronthaul Interface
T-ORU-01,An attacker stands up a false base station attack by attacking an O-RU,All,False O-RUs,"ASSET-D-01, ASSET-D-02, ASSET-D-03, ASSET-D-04, ASSET-D-05, ASSET-D-06",O-RU,O-RAN specific,
T-O-RU-02,An attacker leverages the lack of traceability with shared user accounts,All,"· Identical local user accounts are shared across entities(eg:SMO, O-DU) for concurrent access","ASSET-D-18
 ASSET-D-20",ASSET-C-06,O-RAN specific,
T-O-RU-03,An attacker manipulates initial provisioning information,All,· Initial provisioning information from the Software configuration server could be manipulated to point to another server rather than the centralized authentication and authorization server,"ASSET-D-18
 ASSET-D-20",ASSET-C-06,O-RAN specific,
T-O-RU-04,"An attacker compromises O-RU user information, data integrity, confidentiality towards an external centralized authentication and authorization server",All,"· O-RU credentials including account information and passwords could be mismanaged, misclassifying O-RU users between centralized and local users which could defeat the purpose of central authentication, authorization and administration
 · Data in plain text between the O-RU and centralized Authentication and authorization server could be manipulated 
 · O-RU related credentials can be manipulated if not stored securely",ASSET-D-20,"ASSET-C-06
  
 ASSET-C-26",O-RAN specific,
T-NEAR-RT-01,"Malicious Apps can exploit UE identification, track UE location and change UE priority",All,Malicious xApps may be used to gain access to UE identification location and priority,"ASSET-D-21, ASSET-D-22, ASSET-C-02, ASSET-C-09, ASSET-C-41, ASSET-C-43","Near-RT RIC, xApps, E2 Functions, Y1 Functions",O-RAN specific,
T-NEAR-RT-02,Risk of a malicious xApp on Near-RT RIC to obtain protected information,All,Improper or missing authentication and authorization of xApps,"ASSET-D-10, ASSET D-11, ASSET D-21, ASSET-D-22","Near-RT RIC, UE, xApps",O-RAN specific,
T-NEAR-RT-02A,Risk of a malicious xApp on Near-RT RIC impacting service availability,All,Improper or missing authentication and authorization of xApps,"ASSET-D-10, ASSET D-11, ASSET D-21, ASSET-D-22","Near-RT RIC, UE, xApps",O-RAN specific,
T-NEAR-RT-03,"Attackers exploit non authenticated, weakly or incorrectly authenticated Near-RT RIC APIs to obtain protected information",All,"Non authenticated, weakly or incorrectly authenticated Near-RT RIC APIs","ASSET-D-09, ASSET-D-10, ASSET D-11, ASSET D-20, ASSET-D-21, ASSET-D-25, ASSET-D-26, ASSET-D-29, ASSET-D-30, ASSET-C-02, ASSET-C-09, ASSET-C-41, ASSET-C-43","Near-RT RIC, UE, xApps",O-RAN specific,
T-NEAR-RT-03A,"Attackers exploit non authenticated, weakly or incorrectly authenticated Near-RT RIC APIs for MiTM attacks",All,"Non authenticated, weakly or incorrectly authenticated Near-RT RIC APIs","ASSET-D-09, ASSET-D-10, ASSET D-11, ASSET D-20, ASSET-D-21, ASSET-D-25, ASSET-D-26, ASSET-D-29, ASSET-D-30, ASSET-C-02, ASSET-C-09, ASSET-C-41, ASSET-C-43","Near-RT RIC, UE, xApps",O-RAN specific,
T-NEAR-RT-04,"Attackers exploit non authorized Near-RT RIC APIs to access resources and services which they are not entitled to use, to obtain protected information.",All,Non-authorized RT RIC APIs,"ASSET-D-09, ASSET-D-10, ASSET D-11, ASSET D-20, ASSET-D-21, ASSET-D-25, ASSET-D-26, ASSET-D-29, ASSET-D-30, ASSET-C-02, ASSET-C-09, ASSET-C-41, ASSET-C-43","Near-RT RIC, UE, xApps",O-RAN specific,
T-NEAR-RT-04A,"Attackers exploit non authorized Near-RT RIC APIs to access resources and services which they are not entitled to use, to disrupt services.",All,Non-authorized RT RIC APIs,"ASSET-D-09, ASSET-D-10, ASSET D-11, ASSET D-20, ASSET-D-21, ASSET-D-25, ASSET-D-26, ASSET-D-29, ASSET-D-30, ASSET-C-02, ASSET-C-09, ASSET-C-41, ASSET-C-43","Near-RT RIC, UE, xApps",O-RAN specific,
T-NEAR-RT-05,Attackers exploit non uniquely identified xApps using a trusted xAppID to access resources and services which they are not entitled to use.,All,Not uniquely identifying xApps using a trusted xAppID,"ASSET-D-39, ASSET-C-02, ASSET-C-09","Near-RT RIC, xApps",O-RAN specific,
T-NONRTRIC-01,An attacker gains access to the Non-RT RIC through the SMO to cause a denial of service or degrade the performance of the Non-RT-RIC,All,Improper or missing authentication and authorization processes on the Non-RT RIC or SMO,"ASSET-D-03, ASSET-D-07, ASSET-D-08, ASSET-C-11","Non-RT RIC, rApps",O-RAN specific,
T-NONRTRIC-02,An attacker gains access to the Non-RT RIC through the SMO for UE tracking,All,Malicious rApps may be used to gain access to UE identification,"ASSET-D-21, ASSET-D-22, ASSET-C-11","Non-RT RIC, rApps, UE",O-RAN specific,
T-NONRTRIC-03,An attacker gains access to the Non-RT RIC through the SMO to cause Data Corruption/Modification,All,Improper or missing authentication and authorization processes on the Non-RT RIC or SMO,ASSET-C-11,Non-RT RIC,O-RAN specific,
T-NONRTRIC-04,An attacker exploits non uniquely identified rApp instances using a trusted rAppID to access R1 services and data which they are not entitled to use,All,Not uniquely identifying rApp instances using a trusted rAppID,"ASSET-C-10, ASSET-C-11","Non-RT RIC, rApps",O-RAN specific,
T-xAPP-01,An attacker exploits xApps vulnerabilities and misconfiguration to alter data transmitted over A1 or E2 interfaces.,All,xApp stems from an untrusted or unmaintained source,"ASSET-C-03, ASSET-C-05, ASSET-C-07, ASSET-C-08, ASSET-C-09, ASSET-C-10","O-CU, Near-RT RIC, xApps",O-RAN specific,
T-xAPP-01A,An attacker exploits xApps vulnerabilities and misconfiguration to extract sensitive information.,All,xApp stems from an untrusted or unmaintained source,"ASSET-C-03, ASSET-C-05 ASSET-C-07, ASSET-C-08, ASSET-C-09, ASSET-C-10","O-CU, Near-RT RIC, xApps",O-RAN specific,
T-xAPP-01B,An attacker exploits xApps vulnerabilities and misconfiguration to disrupt Near-RT RIC functions,All,xApp stems from an untrusted or unmaintained source,"ASSET-C-03, ASSET-C-05, ASSET-C-07, ASSET-C-08, ASSET-C-09, ASSET-C-10","O-CU, Near-RT RIC, xApps",O-RAN specific,
T-xAPP-01C,An attacker exploits xApps vulnerabilities and misconfiguration to gain unauthorized control over Near-RT RIC,All,xApp stems from an untrusted or unmaintained source,"ASSET-C-03, ASSET-C-07, ASSET-C-08, ASSET-C-09, ASSET-C-10","O-CU, Near-RT RIC, xApps",O-RAN specific,
T-xAPP-02,Conflicting xApps impact O-RAN system functions to degrade performance or create a DoS [i.12],All,"· xApps may be misconfigured or compromised
 · Failing or misconfigured authentication and authorization in xApp","ASSET-C-03, ASSET-C-05, ASSET-C-07, ASSET-C-08, ASSET-C-09, ASSET-C-10","O-CU, Near-RT RIC, xApps",O-RAN specific,
T-xAPP-03,An attacker compromises xApp isolation,All,Vulnerabilities in the underlying system hosting xApps,"ASSET-C-03, ASSET-C-07, ASSET-C-08, ASSET-C-09, ASSET-C-10","O-CU, Near-RT RIC, xApps",O-RAN specific,
T-xApp-04,False or malicious A1 policies modify behavior of xApps,All,xApp functionality exploited by malicious A1 policies,"ASSET-D-07, ASSET-D-11, ASSET-C-09","O-CU, O-DU, Near-RT RIC, xApps",O-RAN specific,
T-rAPP-01,Conflicting rApps impact O-RAN system functions to degrade performance or trigger a DoS,All,rApp stems from an untrusted or unmaintained source,ASSET-C-10,"rApps, Non-RT RIC",O-RAN specific,
T-rAPP-02,An attacker exploits rApp vulnerability for data breach or denial of service,All,rApp management is exposed to the tenant in a web front-end or REST API. These interfaces may contain software vulnerabilities or implement authentication and authorization insufficiently.,ASSET-C-10,"rApps, Non-RT RIC",O-RAN specific,
T-rAPP-03,An attacker exploits rApps misconfiguration,All,Vulnerabilities in the underlying system hosting rApps,ASSET-C-10,"rApps, Non-RT RIC",O-RAN specific,
T-rAPP-04,An attacker bypasses authentication and authorization,All,"· rApps may be misconfigured or compromised
 · Failing or misconfigured authentication and authorization in rApp",ASSET-C-10,"rApps, Non-RT RIC",O-RAN specific,
T-rAPP-05,An attacker deploys and exploits malicious rApp,All,"· rApps may be misconfigured or compromised
 · Failing or misconfigured authentication and authorization in rApp",ASSET-C-10,"rApps, Non-RT RIC",O-RAN specific,
T-rAPP-06,An attacker bypasses authentication and authorization using an injection attack,All,"· rApps may be misconfigured or compromised
 · Failing or misconfigured authentication and authorization in rApp",ASSET-C-10,"rApps, Non-RT RIC",O-RAN specific,
T-rAPP-07,rApp exploits services,All,"· rApps may be misconfigured or compromised
 · Failing or misconfigured authentication and authorization in rApp",ASSET-C-10,"rApps, Non-RT RIC",O-RAN specific,
T-PNF-01,An attacker compromises a PNF to launch attacks against VNFs/CNFs,All,Vulnerabilities in a PNF deployed in a PNF-VNF/CNF deployments.,All,All,O-RAN specific,
T-PNF-01A,An attacker compromises a PNF to launch Denial of Service attacks against VNFs/CNFs,All,Vulnerabilities in a PNF deployed in a PNF-VNF/CNF deployments.,All,All,O-RAN specific,
T-SMO-01,External attacker exploits authentication weakness on SMO,All,Missing or improperly configured authentication,"ASSET-C-11, ASSET-C-17","Non-RT RIC, SMO Framework",O-RAN specific,
T-SMO-02,External attacker exploits authorization weakness on SMO,All,Missing or improperly configured authorization,"ASSET-C-11, ASSET-C-17","Non-RT RIC, SMO Framework",O-RAN specific,
T-SMO-03,External Overload DoS attack targeted at SMO,All,Lack of overload protection and rate-limiting,"ASSET-C-11, ASSET-C-17","Non-RT RIC, SMO Framework",O-RAN specific,
T-SMO-04,Internal attacker exploits authentication weakness on a SMO function,All,Missing or improperly configured authentication,"ASSET-C-11, ASSET-C-17, ASSET-C-18, ASSET-C-19, ASSET-C-20, ASSET-C_21",All,O-RAN specific,
T-SMO-05,Internal attacker exploits authorization weakness on a SMO function,All,Missing or improperly configured authorization,"ASSET-C-11, ASSET-C-17, ASSET-C-18, ASSET-C-19, ASSET-C-20, ASSET-C_21",All,O-RAN specific,
T-SMO-06,Internal Overload DoS attack targeted at SMO functions,All,Lack of overload protection and rate-limiting,"ASSET-C-11, ASSET-C-17, ASSET-C-18, ASSET-C-19, ASSET-C-20, ASSET-C_21",All,O-RAN specific,
T-SMO-07,Internal DoS attack disables internal SMO function(s) or process(es),All,Privilege escalation or improperly configured authorization,"ASSET-C-11, ASSET-C-17, ASSET-C-18, ASSET-C-19, ASSET-C-20, ASSET-C_21",All,O-RAN specific,
T-SMO-08,Attacker exploits insecure API to gain access to SMO,All,API vulnerability,"ASSET-C-11, ASSET-C-17, ASSET-C-18, ASSET-C-19, ASSET-C-20, ASSET-C_21",All,O-RAN specific,
T-SMO-09,Sensitive data in transit is exposed to an internal attacker,All,Missing or weak confidentiality protection of data in transit,"ASSET-C-11, ASSET-C-17, ASSET-C-18, ASSET-C-19, ASSET-C-20, ASSET-C_21",All,O-RAN specific,
T-SMO-10,Sensitive data at rest is exposed to an internal attacker,All,Missing or weak confidentiality protection of data at rest,"ASSET-C-11, ASSET-C-17, ASSET-C-18, ASSET-C-19, ASSET-C-20, ASSET-C_21",All,O-RAN specific,
T-SMO-11,AI/ML poisoning by internal attacker,All,Missing integrity protection of data at rest,"ASSET-C-11, ASSET-C-17","Non-RT RIC, SMO Froamework",O-RAN specific,
T-SMO-12,AI/ML exposure on external entity,All,Missing or weak confidentiality protection of data at rest,"ASSET-C-11, ASSET-C-17","Non-RT RIC, SMO Framework",O-RAN specific,
T-SMO-13,Malicious actor views local logs,All,Missing or weak confidentiality protection of data at rest,"ASSET-C-17, ASSET-C-18","SMO Framework, SMO Functions",O-RAN specific,
T-SMO-14,Malicious actor modifies local log entries,All,Missing integrity protection of data at rest,"ASSET-C-17, ASSET-C-18","SMO Framework, SMO Functions",O-RAN specific,
T-SMO-15,Malicious actor deletes local logs,All,Missing integrity protection of data at rest,"ASSET-C-17, ASSET-C-18","SMO Framework, SMO Functions",O-RAN specific,
T-SMO-16,Malicious actor intercepts exports of local logs,All,Missing or weak confidentiality protection of data in transit,"ASSET-C-17, ASSET-C_18, ASSET-C-26","SMO Framework, SMO Functions, External interfaces",O-RAN specific,
T-SMO-17,Malicious external actor gains unauthorized access to logs,All,Missing or improperly configured authorization,"ASSET-C-17, ASSET-C-18","SMO Framework, SMO Functions",O-RAN specific,
T-SMO-18,Malicious internal actor gains authorized access to logs,All,Missing or improperly configured authorization,"ASSET-C-17, ASSET-C-18","SMO Framework, SMO Functions",O-RAN specific,
T-SMO-19,Internal attacker exploits O2 interface to view data in transit between SMO and O-Cloud,All,Missing or weak confidentiality protection of data in transit,"ASSET-C_08, ASSET-C-17, ASSET-C-23","O-Cloud, SMO, O2 interface",O-RAN specific,
T-SMO-20,Internal attacker exploits O2 interface to modify data in transit between SMO and O-Cloud,All,Missing integrity checking for data in transit,"ASSET-C_08, ASSET-C-17, ASSET-C-23","O-Cloud, SMO, O2 interface",O-RAN specific,
T-SMO-21,Internal attacker uses O2 interface via SMO to exploit API vulnerability to gain access to O-Cloud infrastructure,All,API vulnerability,"ASSET-C_08, ASSET-C-17, ASSET-C-23","O-Cloud, SMO, O2 interface",O-RAN specific,
T-SMO-22,Internal attacker floods O2 interface via SMO to cause DDoS on O-Cloud infrastructure,All,Lack of overload protection and rate-limiting,"ASSET-C-08, ASSET-C-17, ASSET-C-23","O-Cloud, SMO, O2 interface",O-RAN specific,
T-SMO-23,External attacker uses O2 interface via O-Cloud to exploit API vulnerability to gain access to SMO,All,API vulnerability,"ASSET-C_08, ASSET-C-17, ASSET-C-23","O-Cloud, SMO, O2 interface",O-RAN specific,
T-SMO-24,External attacker floods O2 interface via O-Cloud to cause DDoS on SMO,All,Lack of overload protection and rate-limiting,"ASSET-C_08, ASSET-C-17, ASSET-C-23","O-Cloud, SMO, O2 interface",O-RAN specific,
T-SMO-25,External attacker uses O2 interface via O-Cloud to gain authorized access to sensitive data-at-rest at the SMO,All,Missing or improperly configured authorization,"ASSET-C_08, ASSET-C-17, ASSET-C-23","O-Cloud, SMO, O2 interface",O-RAN specific,
T-SMO-26,External attacker exploits External interface to view data in transit between SMO and external service,All,Missing or weak confidentiality protection of data in transit,"ASSET-C_11, ASSET-C-17, ASSET-C-26","Non-RT RIC, SMO, External interfaces",O-RAN specific,
T-SMO-27,External attacker exploits External interface to modify data in transit between SMO and external service,All,Missing integrity checking for data in transit,"ASSET-C_11, ASSET-C-17, ASSET-C-26","Non-RT RIC, SMO, External interfaces",O-RAN specific,
T-SMO-28,External attacker uses External interface to exploit API vulnerability to gain access to SMO,All,API vulnerability,"ASSET-C_11, ASSET-C-17, ASSET-C-26","Non-RT RIC, SMO, External interfaces",O-RAN specific,
T-SMO-29,External attacker floods External interface to cause DDoS at SMO,All,Lack of overload protection and rate-limiting,"ASSET-C_11, ASSET-C-17, ASSET-C-26, ASSET-C_27, ASSET-C-28",All,O-RAN specific,
T-SMO-30,External attacker uses External interface to gain access to sensitive data-at-rest at the SMO,All,Missing or improperly configured authorization,"ASSET-C_11, ASSET-C-17, ASSET-C-26","Non-RT RIC, SMO, External interfaces",O-RAN specific,
T-SMO-31,External attacker poisons External AI/ML data to corrupt SMO,All,Missing integrity checking for data at rest,"ASSET-C_11, ASSET-C-17, ASSET-C-26","Non-RT RIC, SMO, External interfaces",O-RAN specific,
T-SMO-32,External attacker poisons External Enrichment Information data sources to corrupt SMO,All,Missing integrity checking for data at rest,"ASSET-C_11, ASSET-C-17, ASSET-C-26","Non-RT RIC, SMO, External interfaces",O-RAN specific,
T-R1-01,A malicious actor gains unauthorized access to R1 services,All,weak mutual authentication,ASSET-C-16,R1 interface,O-RAN specific,
T-R1-02,Attacker modifies Service Heartbeat message to cause Denial of Service,All,weak mutual authentication,ASSET-C-16,R1 interface,O-RAN specific,
T-R1-03,Malicious actor bypasses authentication to Request Data,All,weak mutual authentication,ASSET-C-16,R1 interface,O-RAN specific,
T-R1-04,Malicious actor bypasses authorization to Discover Data,All,weak mutual authentication,ASSET-C-16,R1 interface,O-RAN specific,
T-R1-05,A malicious actor gains unauthorized access to data,All,weak mutual authentication,ASSET-C-16,R1 interface,O-RAN specific,
T-R1-06,Malicious actor modifies a Data Request,All,weak mutual authentication,ASSET-C-16,R1 interface,O-RAN specific,
T-R1-07,Malicious actor compromises Data Delivery to the Data Consumer,All,weak mutual authentication,ASSET-C-16,R1 interface,O-RAN specific,
T-A1-01,Untrusted peering between Non-RT-RIC and Near-RT-RIC,All,weak mutual authentication,ASSET-C-14,A1 interface,O-RAN specific,
T-A1-02,Malicious function or application monitors messaging across A1 interface,All,weak mutual authentication,ASSET-C-14,A1 interface,O-RAN specific,
T-A1-03,Malicious function or application modifies messaging across A1 interface,All,weak mutual authentication,ASSET-C-14,A1 interface,O-RAN specific,
T-A1-04,Unauthorized access to Non-RT-RIC- or Near-RT-RIC- resources,All,weak service consumer authorization,"ASSET-D-07, ASSET-D-08",A1 interface,O-RAN specific,
T-AppLCM-01,Compromise of App/VNF/CNF update package integrity during onboarding,All,Lack of integrity verification,ASSET-D-15,Apps/VNFs/CNFs,O-RAN specific,
T-AppLCM-02,Compromise of App/VNF/CNF update image integrity during instantiation,All,Lack of integrity verification,ASSET-D-15,Apps/VNFs/CNFs images,O-RAN specific,
T-AppLCM-03,Downgrade attack to vulnerable application version,All,Lack of integrity verification,ASSET-D-15,Apps/VNFs/CNFs,O-RAN specific,
T-AppLCM-04,Attacker exploits missing or improperly defined elements of application’s SecurityDescriptor,All,Misconfiguration,ASSET-D-15,Apps/VNFs/CNFs,O-RAN specific,
T-AppLCM-05,Malicious actor modifies application’s SecurityDescriptor,All,"Lack of authentication, lack of integrity verification",ASSET-D-15,Apps/VNFs/CNFs,O-RAN specific,
T-AppLCM-06,Improper decommissioning of application,All,Improper release of resources and secrets,ASSET-D-15,Apps/VNFs/CNFs,O-RAN specific,
T-AppLCM-07,Improper deletion of application sensitive data,All,Missing or weak confidentiality protection,"ASSET-D-16, ASSET-D-17, ASSET-D-32",Apps/VNFs/CNFs,O-RAN specific,
T-SharedORU-01,O-DU Tenant accesses O-DU Host,All,Weak authentication can be exploited by a tenant to move laterally across the deployment.,ASSET-C-34,O-DU Host,O-RAN specific,
T-SharedORU-02,O-DU Host accesses O-DU Tenant,All,Weak authentication can be exploited by a host to move laterally across the deployment.,ASSET-C-35,O-DU Tenant,O-RAN specific,
T-SharedORU-03,O-DU Tenant accesses O-DU Tenant,All,Weak authentication can be exploited by a tenant to move laterally across the deployment.,ASSET-C-35,O-DU Tenant,O-RAN specific,
T-SharedORU-04,Password Attack on OFH M-Plane,All,The attack can be a brute-force attack or stolen password. There is increased risk of password attack in a multi-tenant environment.,"ASSET-C-31, ASSET-C-34, ASSET-C-35","Shared O-RU, O-DU Host, O-DU Tenant",O-RAN specific,
T-SharedORU-05,Untrusted peering to O-DU,All,"Attacker exploits weak authentication on the O-DU to establish a session with a malicious app masquerading as a Shared O-RU. From the O-DU, a malicious actor can move laterally.","ASSET-C-34, ASSET-C-35","O-DU Host, O-DU Tenant",O-RAN specific,
T-SharedORU-06,Untrusted peering to the Shared O-RU,All,Weak authentication can be exploited to establish session with a malicious app masquerading as a O-DU Host or O-DU Tenant,ASSET-C-31,Shared O-RU,O-RAN specific,
T-SharedORU-07,Untrusted peering to the SMO,All,Weak authentication on the SMO can be exploited to establish session with a malicious app masquerading as a Shared O-RU.,ASSET-C-31,Shared O-RU,O-RAN specific,
T-SharedORU-08,SMO Tenant accesses SMO Host,All,Weak authentication can be exploited by a tenant to move laterally across the deployment.,ASSET-C-38,SMO Host,O-RAN specific,
T-SharedORU-09,SMO Host accesses SMO Tenant,All,Weak authentication can be exploited by a tenant to move laterally across the deployment.,ASSET-C-39,SMO Tenant,O-RAN specific,
T-SharedORU-10,O-DU Host accesses O-CU Tenant,All,Weak authentication can be exploited by a tenant to move laterally across the deployment.,ASSET-C-37,O-CU Tenant,O-RAN specific,
T-SharedORU-11,O-DU Tenant accesses O-CU Host,All,Weak authentication can be exploited by a tenant to move laterally across the deployment.,ASSET-C-36,O-CU Host,O-RAN specific,
