Name,Type,Description,Target Components / Interfaces,Affected Components / Interfaces,Reference
MACsec Integrity for Fronthaul,Preventative Measure,"Benchmark shows AES-NI MACsec adds ~2.4 µs, acceptable for fronthaul; recommend making integrity mandatory. [Testbed]",Fronthaul Interface,,On the Criticality of Integrity Protection in 5G Fronthaul Networks
ORANalyst testing framework,Preventative Measure,"End-to-end framework combining static and dynamic analysis to test O-RAN; evaluated on two RICs, finding 19 issues. [Code]","Near-RT RIC, E2 Interface",,ORANalyst: Systematic Testing Framework for Open RAN Implementations
Dynamic dependency tracing,Preventative Measure,Collects execution and network traces to derive component dependency chains and entry/exit points for each message. [Code],"Near-RT RIC, E2 Interface",,ORANalyst: Systematic Testing Framework for Open RAN Implementations
RIC DoS via crafted E2 messages,Attack,Demonstrates malicious RAN inputs crashing RIC components (e.g. E2T via E2SetupRequest) causing DoS. [Testbed],"E2 Interface, Near-RT RIC","Near-RT RIC, E2 Interface",ORANalyst: Systematic Testing Framework for Open RAN Implementations
Indication stream blockage attack,Attack,"Shows gRPC stream error-handling flaw blocks xApps’ processing, disabling communications indefinitely. [Testbed]","E2 Interface, xApps","Near-RT RIC, xApps, E2 Interface",ORANalyst: Systematic Testing Framework for Open RAN Implementations
Attack Detection xApp,Defense,CNN-based xApp detects DDoS in real time and flags attacker IPs; validated on live 5G testbed. [Testbed],"Near-RT RIC, E2 Interface",,xApps for DDoS Attacks Detection and Mitigation in 5G-V2X O-RAN Networks
Resource Control xApp,Defense,xApp dynamically reallocates radio resources to throttle attacker bandwidth after detection; maintains legitimate users’ service; shown in prototype. [Testbed],"Near-RT RIC, E2 Interface",UE,xApps for DDoS Attacks Detection and Mitigation in 5G-V2X O-RAN Networks
PTP Spoofing Attack,Attack,Spoofed Announce messages hijack BMCA master; triggers RU crash and gNB outage; shown on production and twin networks. [Testbed],"Fronthaul Interface, O-DU, O-RU","O-RU, O-DU, Airlink",TIMESAFE: Timing Interruption Monitoring and Security Assessment for Fronthaul Environments
PTP Replay Attack,Attack,Captures and delays Sync/FollowUp; replays to inflate offset/delay; severely disrupts synchronization; evaluated on digital twin traces. [Testbed],"Fronthaul Interface, O-DU, O-RU","O-DU, O-RU",TIMESAFE: Timing Interruption Monitoring and Security Assessment for Fronthaul Environments
TIMESAFE ML Detection,Defense,Transformer-based monitoring on DU detects PTP attacks with ≥97.5% accuracy; validated on production and twin environments. [Testbed],"O-DU, Fronthaul Interface",,TIMESAFE: Timing Interruption Monitoring and Security Assessment for Fronthaul Environments
NDT Security Architecture,Preventative Measure,"O-RAN NDT with security data collector, models, and management to train ML defenses and send policy updates; exercised in emulation. [Testbed]","A1 Interface, O1 Interface, O2 Interface, E2 Interface, Near-RT RIC, Non-RT RIC",,Federated Learning for Anomaly Detection in Open RAN: Security Architecture Within a Digital Twin
Hierarchical FL Anomaly Detector,Defense,Two-level FL (Near-RT and Non-RT RIC) LSTM classifier for slice anomaly detection,UE,,Federated Learning for Anomaly Detection in Open RAN: Security Architecture Within a Digital Twin
UDP Poisson DDoS,Attack,Simulated UDP DDoS using Poisson arrivals and Normal packet sizes to create anomalous traffic. [Testbed],UE,,Federated Learning for Anomaly Detection in Open RAN: Security Architecture Within a Digital Twin
Bandwidth Hog Attack,Attack,Mimics realistic arrivals but inflates payloads to congest network; generates stealthy anomalies. [Testbed],UE,,Federated Learning for Anomaly Detection in Open RAN: Security Architecture Within a Digital Twin
SleeperNets multi-KPM backdoor,Attack,Extends SleeperNets to poison multiple KPIs concurrently; implemented via MultiValuePoison; evaluated on O-RAN dataset. [Code],"Near-RT RIC, E2 Interface","UE, O-DU",How to Poison an xApp: Dissecting Backdoor Attacks to Deep Reinforcement Learning in Open Radio Access Networks
SleeperNets O-RAN offline poisoning,Attack,Applies SleeperNets backdoor poisoning to DRL xApps for PRB allocation; achieves >0.9 attack success on O-RAN dataset. [Code],"Near-RT RIC, E2 Interface",,How to Poison an xApp: Dissecting Backdoor Attacks to Deep Reinforcement Learning in Open Radio Access Networks
5G-Muffler-1,Attack,MITM on O-FH C/U plane alters PRACH Msg1 IQ samples to block random access; validated on commercial O-RAN. [Testbed],"O-RU, O-DU, Fronthaul Interface","UE, O-DU",5G-Muffler: Covert DoS Attacks over Open Fronthaul Interface of O-RAN 5G Network
5G-Muffler-2,Attack,"Compromised O-RU injects fake/strong preambles or exploits exponent to suppress detection, DoSing shared cell; validated on FlexRAN-based O-DU. [Testbed]","O-RU, O-DU, Fronthaul Interface","UE, O-DU",5G-Muffler: Covert DoS Attacks over Open Fronthaul Interface of O-RAN 5G Network
O-FH switch access hardening,Preventative Measure,Harden access control on O-FH switch to prevent unauthorized manipulation. [Theory],Fronthaul Interface,,5G-Muffler: Covert DoS Attacks over Open Fronthaul Interface of O-RAN 5G Network
UE Risk Analysis xApp,Defense,Classifies UE use cases and scores risk via scaled-deviation boundaries and threat-weighted distances; demonstrated with Ofcom data and alpha sweep. [Code],"Near-RT RIC, xApps",,Detection of UE Metric Data Poisoning in O-RAN: Automated Risk Analysis and Resilience
xApp Misbehaviour Detection,Defense,"Monitors Near-RT RIC xApp traffic in real time, scoring deviations and triggering alerts or isolation of misbehaving xApps. [Theory]","Near-RT RIC, xApps",xApps,Detection of UE Metric Data Poisoning in O-RAN: Automated Risk Analysis and Resilience
Resilience Management rApp,Defense,Automates redeployment of misbehaving xApps using Non-RT RIC and O-Cloud resources via O1/O2; zero-touch commissioning to maintain availability. [Theory],"Non-RT RIC, O1 Interface, O2 Interface, O-Cloud, xApps",xApps,Detection of UE Metric Data Poisoning in O-RAN: Automated Risk Analysis and Resilience
E2 Subscription Flood DoS,Attack,"Malicious xApp floods Near-RT RIC with E2 subscription requests, causing crashes or blocking connections; validated on FlexRIC and OSC [Testbed].","xApps, Near-RT RIC, E2 Interface",Near-RT RIC,Endless Subscriptions: Open RAN is Open to RIC E2 Subscription Denial of Service Attacks
E2 IPsec Encryption,Defense,"Add IPsec to E2 and empirically measure delay and throughput; delay <50 μs, throughput CPU-limited using iperf3 and ping. [Testbed]","E2 Interface, Near-RT RIC, O-CU, O-DU","E2 Interface, O-CU, O-DU","Implementing and Evaluating Security in O-RAN: Interfaces, Intelligence, and Platforms"
C&W Attack xApp,Attack,Malicious xApp perturbs KPI data via C&W to evade detector; accuracy falls to 16% on testbed. [Testbed],Near-RT RIC,xApps,Mitigating ML-Driven Adversarial Attacks on xApps Using Dynamic Defense Mechanisms
BIM Attack xApp,Attack,Malicious xApp applies BIM perturbations to KPI data; drops detector accuracy to about 10% on testbed. [Testbed],Near-RT RIC,xApps,Mitigating ML-Driven Adversarial Attacks on xApps Using Dynamic Defense Mechanisms
HybxLSTM xApp detection,Defense,Hybrid xLSTM+Conv with XGBoost detects backdoor attacks; evaluated on TON IoT and deployed as a Near-RT RIC xApp. [Testbed],"Near-RT RIC, E2 Interface",,Hybxlstm: a hybrid xLSTM-XGBoost model for securing O-RAN against backdoor attacks
E2 protection xApp,Defense,"Near-RT RIC xApp protecting E2 at layer 2 via static ARP, duplicate-MAC detection, cache deletion, blocking, restoration; validated on VM testbed within 0.2s. [Testbed]","Near-RT RIC, E2 Interface",E2 Interface,Integration of the Layer 2 Protection Extended Application for Open Ran: A Security by Design Approach
ARP spoofing on E2 interface,Attack,"Simulated ARP spoofing MitM to eavesdrop KPM and disable IP forwarding, disrupting E2 packet reception in VM testbed. [Testbed]",E2 Interface,E2 Interface,Integration of the Layer 2 Protection Extended Application for Open Ran: A Security by Design Approach
