Risk ID,Threat Key,Risk Description,Impact Description,CIA,Severity Level,Likelihood Level,Applied factors,Rationale,Considered Assumptions,Risk Score
T-O-RAN-09,T-O-RAN-09,An attacker compromises O-RAN components integrity and availability,"An attacker could, in such case, cause denial-of-service, data tampering, information disclosure, spoofing identity, etc.","I, A",High,Medium,"• Threat event initiation (Medium)
 • Adverse impacts (Medium)","Existing controls are in place (moderately satisfactory), Malicious user needs to have direct access to the target system",,High
T-ORAN-10,T-ORAN-10,"A successful attack could:
 -compromise confidentiality, integrity and availability due to the prolonged undetected presence of an attacker in the network","confidentiality, integrity, availability",CIA,High,High,"• Impact on confidentiality, integrity and availability (High)
 • Threat event initiation (High)","- Impact on confidentiality, integrity, and availability (High): fragmented logs lead to undetected breaches, tampering, and delayed responses, causing significant data loss, integrity issues, and system disruptions.
 - Threat event initiation (High): Adversary behaviour generally goes undiscovered.",,High
T-FRHAUL-01,T-FRHAUL-01,An attacker penetrates O-DU and beyond through O-RU (bidding-down attack),Data tampering and information disclosure;,"C, I",High,Medium,"• Threat event initiation (Medium)
 • Adverse impacts (Medium)
 • Exposure (Medium)","System has an amount of exposed interfaces: multiple O-DU, multiple O-RU, FH interface. It is a possible attack, however needs physical access and sophistication to execute",,High
T-FRHAUL-01A,T-FRHAUL-01A,An attacker penetrates O-DU and beyond through O-RU (bidding-down attack),Spoofing,"C, I",High,Medium,"• Threat event initiation (Medium)
 • Adverse impacts (Medium)
 • Exposure (Medium)","System has an amount of exposed interfaces: multiple O-DU, multiple O-RU, FH interface. It is a possible attack, however needs physical access and sophistication to execute",,High
T-FRHAUL-02,T-FRHAUL-02,Unauthorized access to the Open Front Haul Ethernet L1 physical layer interface (cables and connections),It provides a means to launch attacks on the confidentiality of the Open Front Haul system.,C,High,Low,"• Threat event initiation (Low)
 • Adverse impacts (High)","It is a possible attack, however needs physical access and sophistication to execute",,Medium
T-FRHAUL-03,T-FRHAUL-03,Unauthorized access to the Open Front Haul Ethernet L1 physical layer interface (cables and connections),It provides a means to launch attacks on the availability of the Open Front Haul system.,A,High,Low,"• Threat event initiation (Low)
 • Adverse impacts (High)","It is a possible attack, however needs physical access and sophistication to execute",,Medium
T-MPLANE-01,T-MPLANE-01,An attacker attempts to intercept the Fronthaul (MITM) over M Plane to obtain protected information,Passive wiretapping,C,Medium,Low,"• Threat event initiation (Low)
 • Adverse impacts (Medium)","It is a possible attack, however needs physical access and sophistication to execute","TLS with PKI is supported, it is up to MNO, the likelihood is low provided that MNOs use TLS over the M-Plane",Low
T-MPLANE-02,T-MPLANE-02,An attacker attempts to intercept the Fronthaul (MITM) over M Plane to alter m-plane data,Intercepting and modifying of the M plane messages.,I,Medium,Low,"• Threat event initiation (Low)
 • Adverse impacts (Medium)","It is a possible attack, however needs physical access and sophistication to execute","TLS with PKI is supported, it is up to MNO, the likelihood is low provided that MNOs use TLS over the M-Plane",Low
T-MPLANE-03,T-MPLANE-03,An attacker attempts to intercept the Fronthaul (MITM) over M Plane to disrupt services,Denial of service,A,Medium,Low,"• Threat event initiation (Low)
 • Adverse impacts (Medium)","It is a possible attack, however needs physical access and sophistication to execute","TLS with PKI is supported, it is up to MNO, the likelihood is low provided that MNOs use TLS over the M-Plane",Low
T-SPLANE-01-C1 (one O-RU scenario),T-SPLANE-01,"DoS attack on an O-DU acting as master to distribute network timing toward O-RU based on point-to-point connection in LLS-C1. In this scenario, only one O-RU is connected to O-DU, therefore only that O-RU is affected.",This attack may cause performance degradation or interruption of services to only one O-RU that rely on accurate time from the affected O-DU. The severity level is consequently 'Low'.,A,Low,Low,"• Exposure (Low)
 • Threat event initiation (Medium)","Slightly exposed to external systems: one O-RU. It is a possible attack, however needs physical access and sophistication to execute",Access control on the CUSM-Plane that mitigates unauthorized access by an insider are in place. 802.1x protocol is supported it can reduce the likelihood of this attack.,Low
T-SPLANE-01-C1 (multiple O-RUs scenario),T-SPLANE-01,"DoS attack on an O-DU acting as master to distribute network timing toward O-RU based on point-to-point connection in LLS-C1. In this scenario, multiple O-RUs are connected to O-DU, therefore those O-RUs are affected.",This attack may cause performance degradation or interruption of services to all the RUs that rely on accurate time from the affected O-DU. The severity level is consequently 'Medium'.,A,Medium,Medium,"• Exposure (Medium)
 • Threat event initiation (Medium)","System has a medium amount of exposed interfaces: multiple O-RUs. It is possible attack, however needs physical access and sophistication to execute",,Medium
T-SPLANE-01-C2,T-SPLANE-01,DoS attack on an O-DU acting as master to distribute network timing toward O-RU in LLS-C2. One or more Ethernet switches are allowed between the central site (hosting O-DUs) and the remote sites (hosting O-RUs).,"This attack may cause performance degradation or interruption of services to all the RUs that rely on accurate time from the affected O-DU. In this configuration, a neighbor O-DU could act a backup and play the role of a master to distribute network timing to all the RUs belonging to the affected O-DU by reconfiguring the network of switches. The severity level is consequently 'Low'.",A,Low,Medium,"• Exposure (Medium)
 • Threat event initiation (Medium)","System has a medium amount of exposed interfaces. It is a possible attack, however needs physical access and sophistication to execute",Access control on the CUSM-Plane that mitigates unauthorized access by an insider are in place. 802.1x protocol is supported it can reduce the likelihood of this attack.,Low
T-SPLANE-01-C3,T-SPLANE-01,DoS attack against a Master clock in the LLS-C3 configuration,"In this configuration, the frequency and timing distribution is made by the fronthaul network (not by O-DU). DoS attack against a master clock may cause performance degradation or interruption of services to all the RUs and DUs that rely on accurate time from the affected master clock in the fronthaul network. The severity level is consequently 'High'.",A,High,Medium,"• Exposure (Medium)
 • Threat event initiation (Medium)","System has a medium amount of exposed interfaces. It is a possible attack, however needs physical access and sophistication to execute",,High
T-SPLANE-01-C4,T-SPLANE-01,DoS attack against a Master clock in the LLS-C4 configuration,"In this configuration, the time source could be locally embedded in the RU itself. DoS attack in the time source may cause performance degradation or interruption of services to only one O-RU where the time source is embedded. The severity level is consequently 'Low'.",A,Low,Low,"• Exposure (Low)
 • Threat event initiation (Medium)","Slightly exposed to external systems: one O-RU. It is a possible attack, however needs physical access and sophistication to execute",Access control on the CUSM-Plane that mitigates unauthorized access by an insider are in place. 802.1x protocol is supported it can reduce the likelihood of this attack.,Low
T-SPLANE-02,T-SPLANE-02,Impersonation of a Master clock (Spoofing) within a PTP network with a fake ANNOUNCE messages,"Degradation in the accuracy of time may cause DoS to applications on all the RUs that rely on accurate time, potentially bringing down the cell.
 A cell outage caused by misaligned time, may further impact performance in connected neighboring cells.",A,High,Low,"• Threat event initiation (Medium)
 • Adverse impacts (Low)","Existing controls are in place to prevent, or at least significantly impede, the vulnerability from being exercised. It is a possible attack, however needs physical access and sophistication to execute",Access control on the CUSM-Plane that mitigates unauthorized access by an insider are in place. 802.1x protocol is supported it can reduce the likelihood of this attack.,Medium
T-SPLANE-03,T-SPLANE-03,A Rogue PTP Instance wanting to be a Grand Master by sending manipulated/malicious ANNOUNCE messages declaring him to be the best clock in the network,"Degradation in the accuracy of time may cause DoS to applications on all the RUs that rely on accurate time, potentially bringing down the cell.
 A cell outage caused by misaligned time, may further impact performance in connected neighboring cells.",A,High,Low,"• Threat event initiation (Medium)
 • Adverse impacts (Low)","Existing controls are in place to prevent, or at least significantly impede, the vulnerability from being exercised. It is a possible attack, however needs physical access and sophistication to execute",Access control on the CUSM-Plane that mitigates unauthorized access by an insider are in place. 802.1x protocol is supported it can reduce the likelihood of this attack.,Medium
T-SPLANE-04,T-SPLANE-04,Selective interception and removal of PTP timing packets,"Clock degradation in attacked nodes. Removing all packets or random packets may push the clocks in attacked nodes into free running mode.
 Degradation in the accuracy of time may cause DoS to applications on all the RUs that rely on accurate time, potentially bringing down the cell.
 A cell outage caused by misaligned time, may further impact performance in connected neighboring cells.",A,High,Low,"• Threat event initiation (Medium)
 • Adverse impacts (Low)","Existing controls are in place to prevent, or at least significantly impede, the vulnerability from being exercised. It is a possible attack, however needs physical access and sophistication to execute",Access control on the CUSM-Plane that mitigates unauthorized access by an insider are in place. 802.1x protocol is supported it can reduce the likelihood of this attack.,Medium
T-SPLANE-05,T-SPLANE-05,Packet delay manipulation attack,"Degradation in the accuracy of time may cause DoS to applications on all the RUs that rely on accurate time, potentially bringing down the cell.
 A cell outage caused by misaligned time, may further impact performance in connected neighboring cells.",A,High,Medium,"• Threat event initiation (Medium)
 • Adverse impacts (Medium)","Existing controls are in place to prevent (moderately satisfactory). It is a possible attack, however needs physical access and sophistication to execute",802.1x protocol is supported it can reduce the likelihood of this attack.,High
T-CPLANE-01,T-CPLANE-01,Spoofing of DL C-plane messages,"The lack of authentication could allow an adversary to inject own DL C-plane messages that falsely claiming to be from the associated O-DU. 
 As a result, it would block the O-RU to process the corresponding U-Plane packets, leading to temporarily DoS. (dropping the entire DL C-plane messages would achieve same goal)",A,Medium,Low,"• Threat event initiation (Medium)
 • Adverse impacts (Low)","Existing controls are in place to prevent, or at least significantly impede, the vulnerability from being exercised. It is a possible attack, however needs physical access and sophistication to execute","802.1x at the ethernet level ensures authentication and authorization for communication over FH interface, not sure that this control reduce the risk of spoofing of c-plane at a low level. Mitigations related to monitoring and configuration of network nodes are in place",Low
T-CPLANE-02,T-CPLANE-02,Spoofing of UL C-plane messages,"The lack of authentication could allow an adversary to inject own UL C-plane messages that falsely claiming to be from the associated O-DU.
 As a result, temporarily limited cell performance (or even DoS) on cells served by the O-RU and in addition a consequential threat to all O-RUs parented to that O-DU might exist. (dropping the entire UL C-plane messages would achieve same goal)",A,Medium,Low,"• Threat event initiation (Medium)
 • Adverse impacts (Low)","Existing controls are in place to prevent, or at least significantly impede, the vulnerability from being exercised. It is a possible attack, however, needs physical access and sophistication to execute","802.1x at the ethernet level ensures authentication and authorization for communication over FH interface, not sure that this control reduce the risk of spoofing of c-plane at a low level. Mitigations related to monitoring and configuration of network nodes are in place",Low
T-UPLANE-01,T-UPLANE-01,An attacker attempts to intercept the Fronthaul (MITM) over U Plane to obtain user data (PDCP protocol is used),"For the transported U-Plane data an attacker could potentially do threats, such as passive wiretapping, but would need to break PDCP Security prior to any content access.",C,Medium,Low,"• Threat event initiation (Low)
 • Adverse impacts (Medium)","Existing controls are in place to prevent, or at least significantly impede, the vulnerability from being exercised. It is a possible attack, however, needs physical access and sophistication to execute",802.1x protocol is supported it can reduce the likelihood of this attack.,Low
T-UPLANE-02,T-UPLANE-02,An attacker attempts to intercept the Fronthaul (MITM) over U Plane to modify u-plane data (PDCP protocol is used),"For the transported U-Plane data an attacker could potentially do threats, such as passive wiretapping, but would need to break PDCP Security prior to any content access.",I,Medium,Low,"• Threat event initiation (Low)
 • Adverse impacts (Medium)","Existing controls are in place to prevent, or at least significantly impede, the vulnerability from being exercised. It is a possible attack, however, needs physical access and sophistication to execute",802.1x protocol is supported it can reduce the likelihood of this attack.,Low
T-UPLANE-03,T-UPLANE-03,An attacker attempts to intercept the Fronthaul (MITM) over U Plane to disrupt services (PDCP protocol is used),"For the transported U-Plane data an attacker could potentially do threats, such as passive wiretapping, but would need to break PDCP Security prior to any content access.",A,Medium,Low,"• Threat event initiation (Low)
 • Adverse impacts (Medium)","Existing controls are in place to prevent, or at least significantly impede, the vulnerability from being exercised. It is a possible attack, however, needs physical access and sophistication to execute",802.1x protocol is supported it can reduce the likelihood of this attack.,Low
T-UPLANE-04,T-UPLANE-04,Spoofing and unauthorized access of U-Plane data packets,"An attacker could degrade service quality, disrupt legitimate data flow, and potentially cause a DoS.",NA,Medium,Low,"• Threat event initiation (Low)
 • Adverse impacts (Medium)","Existing controls are in place to prevent, or at least significantly impede, the vulnerability from being exercised. It is a possible attack, however, needs physical access and sophistication to execute",802.1x protocol is supported it can reduce the likelihood of this attack.,Low
T-ORU-01-a,T-ORU-01,An attacker stands up a rogue O-RU (standalone) - a false base station,This opens the door to subscriber’s identity interception/disclosure and unauthorized user tracking attacks (privacy breach).,"C, I",High,Medium,"• Threat event initiation (Medium)
 • Adverse impacts (Medium)","Existing controls are in place to prevent (moderately satisfactory). It is a possible attack, however needs physical access and sophistication to execute","Security measures already defined by 3GPP, monitoring/detection mechanisms of a rogue ORU are in place",High
T-ORU-01-b,T-ORU-01,An attacker stands up a rogue O-RU attacking O-DU and beyond (core network),"It provides a means to launch attacks on the availability, integrity, and confidentiality of the Open Front Haul system, ODUs and beyond in the core network.","C, I",High,Low,"• Threat event initiation (Medium)
 • Adverse impacts (Low)","Existing controls are in place to prevent, or at least significantly impede, the vulnerability from being exercised. It is a possible attack, however needs physical access and sophistication to execute",802.1x protocol is supported it can reduce the likelihood of this attack.,Medium
T-NEAR-RT-01,T-NEAR-RT-01,"Malicious xApps can exploit UE identification, track UE location and change UE priority","An xApp can receive order via A1 to control a certain UE and if a malfunctioning xApp receives an order to prioritize this UE, then the owner of the malfunctioning xApp knows a VIP that they want to track in a certain area. With this command exposure, the attacker can obtain a rough location of a very important person and change the order from prioritize to deprioritize for a UE;
 Interception of UE identifier","C, I",High,High,"• Threat event initiation (High)
 • Adverse impacts (High)
 • Exposure (High)","O-RAN Alliance has not specified yet any xApp security measures around the Onboarding onto SMO and deployment onto Near RT-RIC. Further, there is no testing framework in place for xApps yet.",,High
T-NEAR-RT-02,T-NEAR-RT-02,Risk of a malicious xApp on Near-RT RIC to obtain protected information,"Deployment of malicious xApps may allow unauthorized access to E2 Nodes, abuse of radio network information, or exploit UE identification and location.","C, I",High,High,"• Threat event initiation (High)
 • Exposure (High)","O-RAN Alliance has not specified yet any xApp security measures around the Onboarding onto SMO and deployment onto Near RT-RIC. Further, there is no testing framework in place for xApps yet.",,High
T-NEAR-RT-02A,T-NEAR-RT-02,Risk of a malicious xApp on Near-RT RIC impacting service availability,Deployment of malicious xApps may allow impacting service or exploit slice priority.,A,High,High,"• Threat event initiation (High)
 • Adverse impacts (High)","O-RAN Alliance has not specified yet any xApp security measures around the Onboarding onto SMO and deployment onto Near RT-RIC. Further, there is no testing framework in place for xApps yet.",,High
T-NEAR-RT-03,T-NEAR-RT-03,"Near-RT RIC APIs can be compromised and manipulated due to lack, incorrect or weak authentication mechanism",Near-RT RIC data around services and UEs can be eavesdropped.,C,High,High,"• Threat event initiation (High)
 • Exposure (High)",O-RAN Alliance has not specified yet any Near-RT RIC APIs measures.,,High
T-NEAR-RT-03A,T-NEAR-RT-03,"Near-RT RIC APIs can be compromised and manipulated due to lack, incorrect or weak authentication mechanism",Unauthenticated APIs can be manipulated causing services disruptions in RAN network,A,High,High,"• Threat event initiation (High)
 • Adverse impacts (High)",O-RAN Alliance has not specified yet any Near-RT RIC APIs measures.,,High
T-NEAR-RT-04,T-NEAR-RT-04,Resources and services provided by Near-RT RIC platform and xApps via APIs can be abused and/or misused,Near-RT RIC data around services and UEs can be eavesdropped by xApps without proper permissions.,C,High,High,"• Threat event initiation (High)
 • Adverse impacts (High)
 • Exposure (High)",O-RAN Alliance has not specified yet any Near-RT RIC APIs measures.,,High
T-NEAR-RT-04A,T-NEAR-RT-04,Resources and services provided by Near-RT RIC platform and xApps via APIs can be abused and/or misused,Abuse of resources and misuse of services can produce disruptions and/or outages in the network.,A,High,High,"• Threat event initiation (High)
 • Adverse impacts (High)
 • Exposure (High)",O-RAN Alliance has not specified yet any Near-RT RIC APIs measures.,,High
T-NEAR-RT-05,T-NEAR-RT-05,"Risk of deployment of a malicious, non-uniquely identified xApps using a trusted xAppID to access resources and services which they are not entitled to use.","theft of services, data leakage","C, I",High,High,"• Threat event initiation (High)
 • Exposure (High)",O-RAN Alliance has not specified yet any xApp security measures around the xAppID yet.,,High
T-NONRTRIC-01,T-NONRTRIC-01,An attacker gains access to the Non-RT RIC through the SMO to cause a denial of service or degrade the performance of the Non-RT-RIC,"Non-RT RIC would not be able to:
 •monitor or trace the network to understand the effect of policy on performance in Near-RT RIC 
 •update A1 policy •provide exposure and secure delivery of A1 Enrichment Information to Near-RT RIC •setup access control rules and the selection of which Enrichment Information ID (EiId) is exposed to a near-RT RIC",A,High,Medium,"• ZTA (Medium)
 • Adverse impacts (High)",O-RAN Alliance has not specified yet any security measures around the authentication and access control to the Non RT-RIC.,,High
T-NONRTRIC-02,T-NONRTRIC-02,An attacker gains access to the Non-RT RIC through the SMO for UE tracking,Attacker has access to sensitive data and is able to track a UE,C,High,High,"• ZTA (High)
 • Adverse impacts (High)",O-RAN Alliance has not specified yet any security measures around the authentication and access control to the Non RT-RIC.,,High
T-NONRTRIC-03,T-NONRTRIC-03,An attacker gains access to the Non-RT RIC through the SMO to cause Data Corruption/Modification,A malicious actor who gains unauthorized access to the Non-RT-RIC can modify policy to pass a “False Policy” to the Near-RT-RIC to degrade performance or cause an outage.,C,High,Medium,"• ZTA (Medium)
 • Adverse impacts (High)",O-RAN Alliance has not specified yet any security measures around the authentication and access control to the Non RT-RIC.,,High
T-xAPP-01,T-xAPP-01,An attacker exploits xApps vulnerabilities and misconfiguration to alter data transmitted over A1 or E2 interfaces.,"If attackers can find exploitable xApp, they can disrupt the offered network service and potentially take over another xApp or the whole Near-RT RIC. 
 The actual consequences may vary. For example, an attacker may gain the ability to alter data transmitted over A1 or E2 interfaces, extract sensitive information, etc.",I,High,High,"• Threat event initiation (High)
 • Adverse impacts (High)
 • Exposure (High)","O-RAN Alliance has not specified yet any xApp security measures around the Onboarding onto SMO and deployment onto Near RT-RIC, authentication and access control, secure configuration, etc. Further, there is no testing framework in place for xApps yet.",,High
T-xAPP-01A,T-xAPP-01,An attacker exploits xApps vulnerabilities and misconfiguration to extract sensitive information.,"If attackers can find exploitable xApp, they can disrupt the offered network service and potentially take over another xApp or the whole Near-RT RIC. 
 The actual consequences may vary. For example, an attacker may gain the ability to alter data transmitted over A1 or E2 interfaces, extract sensitive information, etc.",C,High,High,"• Threat event initiation (High)
 • Adverse impacts (High)
 • Exposure (High)","O-RAN Alliance has not specified yet any xApp security measures around the Onboarding onto SMO and deployment onto Near RT-RIC, authentication and access control, secure configuration, etc. Further, there is no testing framework in place for xApps yet.",,High
T-xAPP-01B,T-xAPP-01,An attacker exploits xApps vulnerabilities and misconfiguration to disrupt Near-RT RIC functions,"If attackers can find exploitable xApp, they can disrupt the offered network service and potentially take over another xApp or the whole Near-RT RIC. 
 The actual consequences may vary. For example, an attacker may gain the ability to alter data transmitted over A1 or E2 interfaces, extract sensitive information, etc.",A,High,High,"• Threat event initiation (High)
 • Adverse impacts (High)
 • Exposure (High)","O-RAN Alliance has not specified yet any xApp security measures around the Onboarding onto SMO and deployment onto Near RT-RIC, authentication and access control, secure configuration, etc. Further, there is no testing framework in place for xApps yet.",,High
T-xAPP-01C,T-xAPP-01,An attacker exploits xApps vulnerabilities and misconfiguration to gain unauthorized control over Near-RT RIC,"If attackers can find exploitable xApp, they can disrupt the offered network service and potentially take over another xApp or the whole Near-RT RIC. 
 The actual consequences may vary. For example, an attacker may gain the ability to alter data transmitted over A1 or E2 interfaces, extract sensitive information, etc.","C, I, A",High,High,"• Threat event initiation (High)
 • Adverse impacts (High)
 • Exposure (High)","O-RAN Alliance has not specified yet any xApp security measures around the Onboarding onto SMO and deployment onto Near RT-RIC, authentication and access control, secure configuration, etc. Further, there is no testing framework in place for xApps yet.",,High
T-xAPP-02,T-xAPP-02,Conflicting xApps impact O-RAN system functions to degrade performance or trigger a DoS,An attacker can utilize a malicious xApp that intentionally triggers RRM decisions conflicting with the O-gNB internal decisions to create denial of service or performance degradation.,A,High,Medium,"• Threat event initiation (Medium)
 • Adverse impacts (High)","O-RAN Alliance has not specified yet any xApp security measures around the Onboarding onto SMO and deployment onto Near RT-RIC, authentication and access control, secure configuration, etc. Further, there is no testing framework in place for xApps yet.",,High
T-xAPP-03,T-xAPP-03,An attacker compromises xApp isolation,"Gaining unauthorized access to the underlying system provides new opportunities to exploit vulnerabilities in other xApps or O-RAN components to intercept and spoof network traffic, to degrade services (DoS), etc.","C, I, A",High,Medium,"• Threat event initiation (Medium)
 • Adverse impacts (High)","O-RAN Alliance has not specified yet any xApp security measures around the Onboarding onto SMO and deployment onto Near RT-RIC, authentication and access control, secure configuration, etc. Further, there is no testing framework in place for xApps yet.",,High
T-xApp-04,T-xApp-04,False or malicious A1 policies modify behavior of xApps,"A malicious A1 policy can exploit xApp functionality to trigger a DoS, affect performance, or locate a subscriber.","I, A",High,Medium,"• Threat event initiation (Medium)
 • Adverse impacts (High)","O-RAN Alliance has not specified yet any xApp security measures around the Onboarding onto SMO and deployment onto Near RT-RIC, authentication and access control, secure configuration, etc. Further, there is no testing framework in place for xApps yet. This attack to be performed requires multiple steps to be achieved by an attacker.",,High
